@relation GesturePrediction

@attribute labels {click, twoFingerClick, panLeft, panRight, panUp, panDown, closedUp, up, stoped, closedStoped}
@attribute zeroFingerFramesRatio  numeric
@attribute oneFingerFramesRatio  numeric
@attribute twoFingerFramesRatio  numeric
@attribute threeFingerFramesRatio  numeric
@attribute fourFingerFramesRatio  numeric
@attribute fiveFingerFramesRatio  numeric
@attribute pitchAngleAverage  numeric
@attribute yawAngleAverage numeric
@attribute rollAngleAverage numeric
@attribute xAveragePalmVelocity numeric
@attribute yAveragePalmVelocity numeric
@attribute zAveragePalmVelocity numeric
@attribute rightMovementFramesRation numeric
@attribute leftMovementFramesRation numeric
@attribute upMovementFramesRation numeric
@attribute downMovementFramesRation numeric

@data
twoFingerClick,0.06862745098039216,0.0392156862745098,0.8921568627450981,0.0,0.0,0.0,0.2554395103681029,-0.27204131422673955,-2.285335889049605,-0.8772110966782943,-0.6960400907761034,-1.9150971499518217,0.5882352941176471,0.4117647058823529,0.38235294117647056,0.6176470588235294
twoFingerClick,0.0,0.04716981132075472,0.9528301886792453,0.0,0.0,0.0,0.17770172207712917,-0.21031529737531013,-2.2098892713492773,-0.6446677654419305,6.31593681921093,1.8103079146371697,0.6132075471698113,0.3867924528301887,0.6037735849056604,0.39622641509433965
twoFingerClick,0.43,0.04,0.53,0.0,0.0,0.0,1.3599987173080443,0.46339439526200293,3.0581234383583067,0.11034542873501778,1.241849067285657,2.7026167140901087,0.39,0.61,0.56,0.44
click,0.2743362831858407,0.7256637168141593,0.0,0.0,0.0,0.0,0.9220060125916405,0.05318135743449747,3.1011148891617766,2.253173103902192,-1.5722599695477866,-5.940389014525026,0.25663716814159293,0.7433628318584071,0.5486725663716814,0.45132743362831856
panLeft,0.0,0.0,0.0,0.0,0.11442786069651742,0.8855721393034826,1.1789295504342263,0.5785296531903803,1.2514380032743389,-82.94886634151095,-4.789620696979376,2.5216337455742397,0.5323383084577115,0.46766169154228854,0.5771144278606966,0.4228855721393035
panRight,0.0,0.0,0.0,0.053763440860215055,0.7634408602150538,0.1827956989247312,1.1413863000049387,-0.7865822121541026,-2.180876567799558,137.35725501061526,-2.73319776218024,-1.034928449539728,0.4731182795698925,0.5268817204301075,0.5161290322580645,0.4838709677419355
panUp,0.0,0.0,0.0,0.0,1.0,0.0,1.5829893021747983,-1.825542849370803,-3.0294453796299026,0.05327006677786509,46.660852054069785,-0.6345484054636681,0.632183908045977,0.367816091954023,0.5747126436781609,0.42528735632183906
panDown,0.0,0.0,0.0,0.0,0.797752808988764,0.20224719101123595,1.3846368434723844,-0.9703721859481897,-2.9528070728430587,-17.045205360320345,-174.8872624150153,37.45005346717459,0.7078651685393258,0.29213483146067415,0.7078651685393258,0.29213483146067415
click,0.20588235294117646,0.7941176470588235,0.0,0.0,0.0,0.0,0.5439926258781377,-0.2205317647141569,-2.7851917498251972,-4.207602172870846,-3.384693661595092,0.12974280272336566,0.75,0.25,0.5294117647058824,0.47058823529411764
click,0.11842105263157894,0.881578947368421,0.0,0.0,0.0,0.0,0.3395855834609584,-0.13563607191961063,-2.7696912853341353,-5.536470422227132,1.8135180665474189,-0.7660023281840902,0.8552631578947368,0.14473684210526316,0.4473684210526316,0.5526315789473685
twoFingerClick,0.21818181818181817,0.03636363636363636,0.7454545454545455,0.0,0.0,0.0,0.43876164718107746,-0.41009185476736587,-2.388712198084051,1.569523374871774,-0.7248838427391919,-0.6097044571556828,0.4,0.6,0.4727272727272727,0.5272727272727272
twoFingerClick,0.13333333333333333,0.0,0.8666666666666667,0.0,0.0,0.0,0.3523968701561292,-0.2678154523173968,-2.479909912745158,3.000877935439348,-2.4102520157893497,-8.585962969561418,0.5666666666666667,0.43333333333333335,0.36666666666666664,0.6333333333333333
panLeft,0.0,0.0,0.0,0.0,0.0,1.0,0.2192350533273485,0.08373223316545288,1.4353738837771945,-238.7274051229366,-16.393808601962196,-28.999958120286465,0.8444444444444444,0.15555555555555556,0.2,0.8
